"level" "taxa" "taxashort" "hex" "R" "G" "B"
"2" "Unassigned.Other" "Unassigned;Other" "#000000" "0" "0" "0"
"2" "Archaea.Crenarchaeota" "Crenarchaeota" "#FF0000" "1" "0" "0"
"2" "Archaea.Euryarchaeota" "Euryarchaeota" "#2B2B2B" "0.1667" "0.1667" "0.1667"
"2" "Bacteria.Acidobacteriota" "Acidobacteria" "#555555" "0.3333" "0.3333" "0.3333"
"2" "Bacteria.Actinobacteriota" "Actinobacteria" "#808080" "0.5" "0.5" "0.5"
"2" "Bacteria.Armatimonadetes" "Armatimonadetes" "#FFD300" "1" "0.827586206896552" "0"
"2" "Bacteria.BRC1" "BRC1" "#005800" "0" "0.344827586206897" "0"
"2" "Bacteria.Bacteroidota" "Bacteroidetes" "#FFA849" "1" "0.658823529411765" "0.286274509803922"
"2" "Bacteria.Chlamydiae" "Chlamydiae" "#9E4F46" "0.620689655172414" "0.310344827586207" "0.275862068965517"
"2" "Bacteria.Chloroflexi" "Chloroflexi" "#00FFC1" "0" "1" "0.758620689655172"
"2" "Bacteria.Cyanobacteria" "Cyanobacteria" "#28CCF1" "0.156862745098039" "0.8" "0.945098039215686"
"2" "Bacteria.Deferribacteres" "Deferribacteres" "#00007B" "0" "0" "0.482758620689655"
"2" "Bacteria.Firmicutes" "Firmicutes" "#AE4DA8" "0.682352941176471" "0.301960784313725" "0.658823529411765"
"2" "Bacteria.Fusobacteriota" "Fusobacteria" "#AAAAAA" "0.6667" "0.6667" "0.6667"
"2" "Bacteria.Gemmatimonadetes" "Gemmatimonadetes" "#D312FF" "0.827586206896552" "0.0689655172413793" "1"
"2" "Bacteria.Lentisphaerae" "Lentisphaerae" "#D4D4D4" "0.8333" "0.8333" "0.8333"
"2" "Bacteria.Nitrospirae" "Nitrospirae" "#F61261" "0.96551724137931" "0.0689655172413793" "0.379310344827586"
"2" "Bacteria.Planctomycetes" "Planctomycetes" "#FFFFFF" "1" "1" "1"
"2" "Bacteria.Proteobacteria" "Proteobacteria" "#D95F02" "0.850980392156863" "0.372549019607843" "0.00784313725490196"
"2" "Bacteria.Spirochaetes" "Spirochaetes" "#8DA77B" "0.551724137931034" "0.655172413793103" "0.482758620689655"
"2" "Bacteria.TM6" "TM6" "#F68409" "0.96551724137931" "0.517241379310345" "0.0344827586206897"
"2" "Bacteria.Tenericutes" "Tenericutes" "#847200" "0.517241379310345" "0.448275862068966" "0"
"2" "Bacteria.Verrucomicrobiota" "Verrucomicrobia" "#1B9E77" "0.105882352941176" "0.619607843137255" "0.466666666666667"
"2" "Bacteria.[Thermi]" "[Thermi]" "#9EC1FF" "0.620689655172414" "0.758620689655172" "1"
"3" "Unassigned.Other.Other" "Unassigned;Other;Other" "#0000FF" "0" "0" "1"
"3" "Archaea.Crenarchaeota.Thaumarchaeota" "Thaumarchaeota" "#FF0000" "1" "0" "0"
"3" "Archaea.Euryarchaeota.Halobacteria" "Halobacteria" "#00FF00" "0" "1" "0"
"3" "Archaea.Euryarchaeota.Methanobacteria" "Methanobacteria" "#00002C" "0" "0" "0.172413793103448"
