well	subject	donor	recipient	controls	replicate
A1	XEA	XBB-029	blank	strainOnly	1
A2	XEA	XCB-029	blank	strainOnly	1
A3	XEA	XDB-029	blank	strainOnly	1
A4	XEA	XEB-029	blank	strainOnly	1
A5	XEA	XFB-029	blank	strainOnly	1
A6	XEA	XGB-029	blank	strainOnly	1
A7	XEA	XHB-029	blank	strainOnly	1
A8	XEA	XIB-029	blank	strainOnly	1
A9	XEA	XJB-029	blank	strainOnly	1
A10	XEA	XKB-029	blank	strainOnly	1
A11	XEA	super-community	blank	strainOnly	1
A12	XEA	blank	blank	blank	1
B1	XEA	XBB-029	XEA-pre	NA	1
B2	XEA	XCB-029	XEA-pre	NA	1
B3	XEA	XDB-029	XEA-pre	NA	1
B4	XEA	XEB-029	XEA-pre	NA	1
B5	XEA	XFB-029	XEA-pre	NA	1
B6	XEA	XGB-029	XEA-pre	NA	1
B7	XEA	XHB-029	XEA-pre	NA	1
B8	XEA	XIB-029	XEA-pre	NA	1
B9	XEA	XJB-029	XEA-pre	NA	1
B10	XEA	XKB-029	XEA-pre	NA	1
B11	XEA	super-community	XEA-pre	NA	1
B12	XEA	blank	XEA-pre	NA	1
C1	XEA	XBB-029	XEA-pre	NA	2
C2	XEA	XCB-029	XEA-pre	NA	2
C3	XEA	XDB-029	XEA-pre	NA	2
C4	XEA	XEB-029	XEA-pre	NA	2
C5	XEA	XFB-029	XEA-pre	NA	2
C6	XEA	XGB-029	XEA-pre	NA	2
C7	XEA	XHB-029	XEA-pre	NA	2
C8	XEA	XIB-029	XEA-pre	NA	2
C9	XEA	XJB-029	XEA-pre	NA	2
C10	XEA	XKB-029	XEA-pre	NA	2
C11	XEA	super-community	XEA-pre	NA	2
C12	XEA	blank	XEA-pre	NA	2
D1	XEA	XBB-029	XEA-post-V1	NA	1
D2	XEA	XCB-029	XEA-post-V1	NA	1
D3	XEA	XDB-029	XEA-post-V1	NA	1
D4	XEA	XEB-029	XEA-post-V1	NA	1
D5	XEA	XFB-029	XEA-post-V1	NA	1
D6	XEA	XGB-029	XEA-post-V1	NA	1
D7	XEA	XHB-029	XEA-post-V1	NA	1
D8	XEA	XIB-029	XEA-post-V1	NA	1
D9	XEA	XJB-029	XEA-post-V1	NA	1
D10	XEA	XKB-029	XEA-post-V1	NA	1
D11	XEA	super-community	XEA-post-V1	NA	1
D12	XEA	blank	XEA-post-V1	NA	1
E1	XEA	XBB-029	XEA-post-V1	NA	2
E2	XEA	XCB-029	XEA-post-V1	NA	2
E3	XEA	XDB-029	XEA-post-V1	NA	2
E4	XEA	XEB-029	XEA-post-V1	NA	2
E5	XEA	XFB-029	XEA-post-V1	NA	2
E6	XEA	XGB-029	XEA-post-V1	NA	2
E7	XEA	XHB-029	XEA-post-V1	NA	2
E8	XEA	XIB-029	XEA-post-V1	NA	2
E9	XEA	XJB-029	XEA-post-V1	NA	2
E10	XEA	XKB-029	XEA-post-V1	NA	2
E11	XEA	super-community	XEA-post-V1	NA	2
E12	XEA	blank	XEA-post-V1	NA	2
F1	XEA	XBB-029	XEA-post-V2	NA	1
F2	XEA	XCB-029	XEA-post-V2	NA	1
F3	XEA	XDB-029	XEA-post-V2	NA	1
F4	XEA	XEB-029	XEA-post-V2	NA	1
F5	XEA	XFB-029	XEA-post-V2	NA	1
F6	XEA	XGB-029	XEA-post-V2	NA	1
F7	XEA	XHB-029	XEA-post-V2	NA	1
F8	XEA	XIB-029	XEA-post-V2	NA	1
F9	XEA	XJB-029	XEA-post-V2	NA	1
F10	XEA	XKB-029	XEA-post-V2	NA	1
F11	XEA	super-community	XEA-post-V2	NA	1
F12	XEA	blank	XEA-post-V2	NA	1
G1	XEA	XBB-029	XEA-post-V2	NA	2
G2	XEA	XCB-029	XEA-post-V2	NA	2
G3	XEA	XDB-029	XEA-post-V2	NA	2
G4	XEA	XEB-029	XEA-post-V2	NA	2
G5	XEA	XFB-029	XEA-post-V2	NA	2
G6	XEA	XGB-029	XEA-post-V2	NA	2
G7	XEA	XHB-029	XEA-post-V2	NA	2
G8	XEA	XIB-029	XEA-post-V2	NA	2
G9	XEA	XJB-029	XEA-post-V2	NA	2
G10	XEA	XKB-029	XEA-post-V2	NA	2
G11	XEA	super-community	XEA-post-V2	NA	2
G12	XEA	blank	XEA-post-V2	NA	2
H1	XEA	XBB-029	blank	strainOnly	2
H2	XEA	XCB-029	blank	strainOnly	2
H3	XEA	XDB-029	blank	strainOnly	2
H4	XEA	XEB-029	blank	strainOnly	2
H5	XEA	XFB-029	blank	strainOnly	2
H6	XEA	XGB-029	blank	strainOnly	2
H7	XEA	XHB-029	blank	strainOnly	2
H8	XEA	XIB-029	blank	strainOnly	2
H9	XEA	XJB-029	blank	strainOnly	2
H10	XEA	XKB-029	blank	strainOnly	2
H11	XEA	super-community	blank	strainOnly	2
H12	XEA	blank	blank	blank	2
A1	XBA	XBB-029	blank	strainOnly	1
A2	XBA	XCB-029	blank	strainOnly	1
A3	XBA	XDB-029	blank	strainOnly	1
A4	XBA	XEB-029	blank	strainOnly	1
A5	XBA	XFB-029	blank	strainOnly	1
A6	XBA	XGB-029	blank	strainOnly	1
A7	XBA	XHB-029	blank	strainOnly	1
A8	XBA	XIB-029	blank	strainOnly	1
A9	XBA	XJB-029	blank	strainOnly	1
A10	XBA	XKB-029	blank	strainOnly	1
A11	XBA	super-community	blank	strainOnly	1
A12	XBA	blank	blank	blank	1
B1	XBA	XBB-029	XBA-pre-abx	NA	1
B2	XBA	XCB-029	XBA-pre-abx	NA	1
B3	XBA	XDB-029	XBA-pre-abx	NA	1
B4	XBA	XEB-029	XBA-pre-abx	NA	1
B5	XBA	XFB-029	XBA-pre-abx	NA	1
B6	XBA	XGB-029	XBA-pre-abx	NA	1
B7	XBA	XHB-029	XBA-pre-abx	NA	1
B8	XBA	XIB-029	XBA-pre-abx	NA	1
B9	XBA	XJB-029	XBA-pre-abx	NA	1
B10	XBA	XKB-029	XBA-pre-abx	NA	1
B11	XBA	super-community	XBA-pre-abx	NA	1
B12	XBA	blank	XBA-pre-abx	NA	1
C1	XBA	XBB-029	XBA-pre-abx	NA	2
C2	XBA	XCB-029	XBA-pre-abx	NA	2
