filename	round2plate	round1index	well	plate	group	donor	recipient
16S-B-A1-L0	B	0	A1	e0058-A-5	e0058	NA	full-community
16S-B-B1-L0	B	0	B1	e0058-A-5	e0058	NA	full-community-single-strain
16S-B-C1-L0	B	0	C1	e0058-A-5	e0058	NA	bifid-dropped-half-family
16S-B-D1-L0	B	0	D1	e0058-A-5	e0058	NA	blank
16S-B-E1-L0	B	0	E1	e0058-A-5	e0058	NA	full-community
16S-B-F1-L0	B	0	F1	e0058-A-5	e0058	NA	full-community-single-strain
16S-B-G1-L0	B	0	G1	e0058-A-5	e0058	NA	bifid-dropped-half-family
16S-B-H1-L0	B	0	H1	e0058-A-5	e0058	NA	blank
16S-B-A2-L0	B	0	A2	e0058-A-5	e0058	NA	famXI-dropped
16S-B-B2-L0	B	0	B2	e0058-A-5	e0058	NA	famXI-dropped-single-strain
16S-B-C2-L0	B	0	C2	e0058-A-5	e0058	NA	bacte-dropped-half-family
16S-B-D2-L0	B	0	D2	e0058-A-5	e0058	NA	blank
16S-B-E2-L0	B	0	E2	e0058-A-5	e0058	NA	famXI-dropped
16S-B-F2-L0	B	0	F2	e0058-A-5	e0058	NA	famXI-dropped-single-strain
16S-B-G2-L0	B	0	G2	e0058-A-5	e0058	NA	bacte-dropped-half-family
16S-B-H2-L0	B	0	H2	e0058-A-5	e0058	NA	blank
16S-B-A3-L0	B	0	A3	e0058-A-5	e0058	NA	peptS-dropped
16S-B-B3-L0	B	0	B3	e0058-A-5	e0058	NA	peptS-dropped-single-strain
16S-B-C3-L0	B	0	C3	e0058-A-5	e0058	NA	blank
16S-B-D3-L0	B	0	D3	e0058-A-5	e0058	NA	blank
16S-B-E3-L0	B	0	E3	e0058-A-5	e0058	NA	peptS-dropped
16S-B-F3-L0	B	0	F3	e0058-A-5	e0058	NA	peptS-dropped-single-strain
16S-B-G3-L0	B	0	G3	e0058-A-5	e0058	NA	blank
16S-B-H3-L0	B	0	H3	e0058-A-5	e0058	NA	blank
16S-B-A4-L0	B	0	A4	e0058-A-5	e0058	NA	rumin-dropped
16S-B-B4-L0	B	0	B4	e0058-A-5	e0058	NA	rumin-dropped-single-strain
16S-B-C4-L0	B	0	C4	e0058-A-5	e0058	NA	blank
16S-B-D4-L0	B	0	D4	e0058-A-5	e0058	NA	blank
16S-B-E4-L0	B	0	E4	e0058-A-5	e0058	NA	rumin-dropped
16S-B-F4-L0	B	0	F4	e0058-A-5	e0058	NA	rumin-dropped-single-strain
16S-B-G4-L0	B	0	G4	e0058-A-5	e0058	NA	blank
16S-B-H4-L0	B	0	H4	e0058-A-5	e0058	NA	blank
16S-B-A5-L0	B	0	A5	e0058-A-5	e0058	NA	bifid-dropped
16S-B-B5-L0	B	0	B5	e0058-A-5	e0058	NA	bifid-dropped-single-strain
16S-B-C5-L0	B	0	C5	e0058-A-5	e0058	NA	blank
16S-B-D5-L0	B	0	D5	e0058-A-5	e0058	NA	blank
16S-B-E5-L0	B	0	E5	e0058-A-5	e0058	NA	bifid-dropped
16S-B-F5-L0	B	0	F5	e0058-A-5	e0058	NA	bifid-dropped-single-strain
16S-B-G5-L0	B	0	G5	e0058-A-5	e0058	NA	blank
16S-B-H5-L0	B	0	H5	e0058-A-5	e0058	NA	blank
16S-B-A6-L0	B	0	A6	e0058-A-5	e0058	NA	erysT-dropped
16S-B-B6-L0	B	0	B6	e0058-A-5	e0058	NA	erysT-dropped-single-strain
16S-B-C6-L0	B	0	C6	e0058-A-5	e0058	NA	blank
16S-B-D6-L0	B	0	D6	e0058-A-5	e0058	NA	blank
16S-B-E6-L0	B	0	E6	e0058-A-5	e0058	NA	erysT-dropped
16S-B-F6-L0	B	0	F6	e0058-A-5	e0058	NA	erysT-dropped-single-strain
16S-B-G6-L0	B	0	G6	e0058-A-5	e0058	NA	blank
16S-B-H6-L0	B	0	H6	e0058-A-5	e0058	NA	blank
16S-B-A7-L0	B	0	A7	e0058-A-5	e0058	NA	lachn-dropped
16S-B-B7-L0	B	0	B7	e0058-A-5	e0058	NA	lachn-dropped-single-strain
16S-B-C7-L0	B	0	C7	e0058-A-5	e0058	NA	blank
16S-B-D7-L0	B	0	D7	e0058-A-5	e0058	NA	blank
16S-B-E7-L0	B	0	E7	e0058-A-5	e0058	NA	lachn-dropped
16S-B-F7-L0	B	0	F7	e0058-A-5	e0058	NA	lachn-dropped-single-strain
16S-B-G7-L0	B	0	G7	e0058-A-5	e0058	NA	blank
16S-B-H7-L0	B	0	H7	e0058-A-5	e0058	NA	blank
16S-B-A8-L0	B	0	A8	e0058-A-5	e0058	NA	strep-dropped
16S-B-B8-L0	B	0	B8	e0058-A-5	e0058	NA	strep-dropped-single-strain
16S-B-C8-L0	B	0	C8	e0058-A-5	e0058	NA	blank
16S-B-D8-L0	B	0	D8	e0058-A-5	e0058	NA	blank
16S-B-E8-L0	B	0	E8	e0058-A-5	e0058	NA	strep-dropped
16S-B-F8-L0	B	0	F8	e0058-A-5	e0058	NA	strep-dropped-single-strain
16S-B-G8-L0	B	0	G8	e0058-A-5	e0058	NA	blank
16S-B-H8-L0	B	0	H8	e0058-A-5	e0058	NA	blank
16S-B-A9-L0	B	0	A9	e0058-A-5	e0058	NA	bacte-dropped
16S-B-B9-L0	B	0	B9	e0058-A-5	e0058	NA	bacte-dropped-single-strain
16S-B-C9-L0	B	0	C9	e0058-A-5	e0058	NA	blank
16S-B-D9-L0	B	0	D9	e0058-A-5	e0058	NA	blank
16S-B-E9-L0	B	0	E9	e0058-A-5	e0058	NA	bacte-dropped
16S-B-F9-L0	B	0	F9	e0058-A-5	e0058	NA	bacte-dropped-single-strain
16S-B-G9-L0	B	0	G9	e0058-A-5	e0058	NA	blank
16S-B-H9-L0	B	0	H9	e0058-A-5	e0058	NA	blank
16S-B-A10-L0	B	0	A10	e0058-A-5	e0058	NA	blank
16S-B-B10-L0	B	0	B10	e0058-A-5	e0058	NA	blank
16S-B-C10-L0	B	0	C10	e0058-A-5	e0058	NA	blank
16S-B-D10-L0	B	0	D10	e0058-A-5	e0058	NA	blank
16S-B-E10-L0	B	0	E10	e0058-A-5	e0058	NA	blank
16S-B-F10-L0	B	0	F10	e0058-A-5	e0058	NA	blank
16S-B-G10-L0	B	0	G10	e0058-A-5	e0058	NA	blank
16S-B-H10-L0	B	0	H10	e0058-A-5	e0058	NA	blank
16S-B-A11-L0	B	0	A11	e0058-A-5	e0058	NA	blank
16S-B-B11-L0	B	0	B11	e0058-A-5	e0058	NA	blank
16S-B-C11-L0	B	0	C11	e0058-A-5	e0058	NA	blank
16S-B-D11-L0	B	0	D11	e0058-A-5	e0058	NA	blank
16S-B-E11-L0	B	0	E11	e0058-A-5	e0058	NA	blank
16S-B-F11-L0	B	0	F11	e0058-A-5	e0058	NA	blank
